id,first_name,second_name,team,team_code,element_type,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost
278,Brahim,Diaz,13,43,3,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,47
279,Oleksandr,Zinchenko,13,43,3,0,0,4,143,1,58.8,34.2,30.0,0,36,12.3,1,0,0,0.0,47
280,Sergio,Agüero,13,43,4,8,7,87,1085,8,298.1,406.8,779.0,9,324,148.3,7,0,3,22.2,112
281,Gabriel Fernando,de Jesus,13,43,4,3,2,42,685,9,182.2,203.6,573.0,4,128,95.9,0,0,0,1.8,101
529,Arijanet,Muric,13,43,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45
282,David,De Gea,14,1,1,0,0,53,1710,31,0.0,445.6,0.0,1,311,44.6,2,0,0,14.8,57
283,Sergio,Romero,14,1,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,50
284,Chris,Smalling,14,1,2,1,0,35,1137,19,16.2,258.0,116.0,3,188,39.1,2,0,1,1.4,56
285,Phil,Jones,14,1,2,0,0,7,417,7,4.0,88.4,19.0,0,73,11.2,0,0,0,0.5,51
286,Luke,Shaw,14,1,2,1,2,34,1241,24,216.7,276.6,163.0,3,201,65.7,1,0,6,5.7,49
287,Marcos,Rojo,14,1,2,0,0,-1,103,3,1.5,14.2,24.0,0,1,4.0,0,0,1,0.1,49
288,Antonio,Valencia,14,1,2,0,0,10,360,5,96.1,52.0,3.0,1,69,15.1,1,0,2,0.7,64
289,Matteo,Darmian,14,1,2,0,0,12,360,6,34.3,77.4,7.0,2,66,11.9,1,0,0,0.2,46
290,Daley,Blind,14,1,2,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50
291,Eric,Bailly,14,1,2,0,0,7,380,11,1.6,75.4,6.0,0,58,8.4,0,0,0,1.5,50
292,Victor,Lindelöf,14,1,2,0,0,30,1258,21,21.2,253.8,27.0,1,220,30.3,2,0,0,1.2,48
293,Ashley,Young,14,1,2,1,3,35,1207,24,279.1,274.0,72.0,1,210,62.5,1,0,5,2.0,57
294,José Diogo,Dalot Teixeira,14,1,2,0,0,4,295,4,80.2,39.6,11.0,0,36,13.1,0,0,2,0.1,53
295,Alexis,Sánchez,14,1,3,1,3,29,474,7,195.8,140.8,223.0,1,102,56.0,1,0,2,1.2,100
296,Nemanja,Matic,14,1,3,1,0,35,1406,25,145.7,293.2,146.0,2,222,58.5,2,1,3,0.7,50
297,Juan,Mata,14,1,3,2,2,41,716,10,201.9,153.2,152.0,5,161,50.9,2,0,1,1.2,62
298,Marouane,Fellaini,14,1,3,0,2,26,746,14,65.6,172.2,145.0,0,119,38.1,1,0,1,0.6,49
